NRI_ID,STATE,COUNTY,EAL_VALT,AVLN_EALT,CFLD_EALT,CWAV_EALT,DRGT_EALT,ERQK_EALT,HAIL_EALT,HWAV_EALT,HRCN_EALT,ISTM_EALT,LNDS_EALT,LTNG_EALT,RFLD_EALT,SWND_EALT,TRND_EALT,TSUN_EALT,VLCN_EALT,WFIR_EALT,WNTW_EALT
C01001,Alabama,Autauga,5514046.887245093,0.0,0.0,0.0,20330.14996791776,194113.07309223167,138957.36644922523,804201.4600628252,915393.0702328109,13537.875674630252,21899.99999999969,111824.39051416136,425518.48916633247,290275.4678148581,2559113.0798427607,0.0,0.0,11164.436836307228,7718.027591032339
C01003,Alabama,Baldwin,202015117.82535577,0.0,222929.40570705544,0.0,444140.5780124682,427543.91039179853,116151.555097768,1166753.801368469,181576632.25773692,25182.132434012045,39099.37031083196,3802770.1004888746,3755186.9805899174,404069.34905844333,7535565.015371378,0.0,0.0,2437631.1741838823,61462.194603895965
C01005,Alabama,Barbour,4715303.672074473,0.0,0.0,0.0,196489.7394316024,69880.69464372161,42812.91858501774,177012.5611899554,1980246.756294234,6347.403212378632,21899.999999999185,237367.47163780575,26648.59702703119,153366.15760899716,1786603.5221340074,0.0,0.0,6879.332070965616,9748.518238758032
C01007,Alabama,Bibb,3164980.64795442,0.0,0.0,0.0,4005.5148885592794,224633.14141644185,67345.30697740772,200481.45602722804,183454.62575867432,38074.95084540461,21899.99999999992,62466.659879891806,87063.19639081285,111132.22129827848,2153687.6968014506,0.0,0.0,4564.054330310527,6171.82333996071
C01009,Alabama,Blount,8509278.926663205,0.0,0.0,0.0,25903.21829828627,487132.6851502752,67746.80907398449,532813.3766237943,247918.28362036205,91336.44561900233,21899.999999999734,359076.14339642087,168385.71397157363,720030.0028500785,5766998.00099395,0.0,0.0,5723.304403048538,14314.942662428928
C01011,Alabama,Bullock,2819556.185555831,0.0,0.0,0.0,891174.9156090942,46839.46377315988,22212.17273271976,45079.64480329611,779403.3974937616,2908.263471518083,21899.999999999585,94413.00952479593,52629.45146312222,85067.10152498947,770219.4880640416,0.0,0.0,2489.1613781071296,5220.115717225208
C01013,Alabama,Butler,5600245.762838086,0.0,0.0,0.0,48566.317047138815,88781.0278305241,18749.518320822608,110864.25538570892,3439547.1298733503,2535.6763342677955,21899.999999996755,276252.28333236,123950.98263732556,197178.97677263172,1260464.4801786544,0.0,0.0,3917.650142251805,7537.4649830539265
C01015,Alabama,Calhoun,21605794.92323623,0.0,0.0,0.0,26448.33406096204,1127034.2042500658,176168.59033334287,874625.7661048686,1052432.1680581407,18157.733068760208,151782.38588420514,265612.6939904983,807984.4270981083,805764.0586760633,16261076.496433564,0.0,0.0,8960.320384356664,29747.744893293853
C01017,Alabama,Chambers,3604000.635130863,0.0,0.0,0.0,5828.739532625128,232308.4576875805,32390.743130177543,381530.24798628286,912317.6331231421,49507.47305637041,21899.99999999998,101727.43144789776,277053.7371362094,149652.58138069135,1424038.3677687692,0.0,0.0,9364.282224585597,6380.940656530382
C01019,Alabama,Cherokee,4383938.023583251,0.0,0.0,0.0,78322.1488617293,440833.44247538544,44012.80760123709,188050.35104898532,243556.19549765647,34496.14028164311,21899.99999999956,105283.10305358443,224330.45320344836,187578.79386565433,2805833.3899991456,0.0,0.0,1893.6294300723505,7847.568264709311
C01021,Alabama,Chilton,6176421.023552406,0.0,0.0,0.0,12964.987470736656,344505.7916010116,56588.357768809976,405757.947934438,455527.89551164256,70760.74653750214,21899.999999999513,239753.910709856,137131.6166723144,234554.1129728204,4170213.3123763623,0.0,0.0,17189.26552719898,9573.078469712367
C01023,Alabama,Choctaw,10512312.00514454,0.0,0.0,0.0,3144.918271542346,214956.67180034847,493061.8701735762,87723.19793678023,6048175.897957196,110645.04434905123,21900.000000000917,119232.47650291728,992549.1166144967,277695.9506420407,2113382.6949877506,0.0,0.0,18278.093553793748,11566.072355045704
C01025,Alabama,Clarke,9091113.332208835,0.0,25.914192256094328,0.0,4560.7958274687435,91436.31414611629,33341.52845455502,297673.81218315824,6500210.91409806,8017.418791368908,21900.000000000513,194475.8446448732,260548.6510047106,181689.40084316983,1458956.0182447624,0.0,0.0,25451.10896073227,12825.610817602952
C01027,Alabama,Clay,2212158.5845154715,0.0,0.0,0.0,2607.334354850736,99648.05220010012,25252.351060203153,79799.218439466,375317.01315980795,9593.37124270901,21900.00000000129,63643.523672373776,64741.77705815628,103285.19474406281,1334608.2930600285,0.0,0.0,25393.798468942343,6368.657054770003
C01029,Alabama,Cleburne,2311388.046995744,0.0,0.0,0.0,6990.598111260332,91100.95636415554,12555.39067765456,70407.82655975116,275243.21907942963,16397.710508598862,21899.99999999937,70946.09843843554,42588.77027458673,198650.29633893367,1468527.7538477296,0.0,0.0,30219.268685123967,5860.1581100849135
C01031,Alabama,Coffee,32828035.649485696,0.0,0.0,0.0,259129.76271284185,204371.26202884904,54147.30926290681,78492.82460725616,24094142.236963786,5607.944174965696,21899.99999999952,725985.279413284,1221582.171879508,666555.181491412,5420641.895500751,0.0,0.0,30389.660018934755,45090.12143119705
C01033,Alabama,Colbert,11551710.612660162,0.0,0.0,193017.6309551504,7451.2266401680035,3079742.4403507374,137847.43752283105,483648.32846167777,289641.60206945875,101262.52970145212,21900.00000000052,567544.4968851752,469684.9285935292,1871452.5381052943,4296674.019705433,0.0,0.0,5104.088979407713,26739.344689846068
C01035,Alabama,Conecuh,4376030.085328032,0.0,0.0,0.0,64695.99412533538,40726.70805518363,14129.3679587991,38675.6325583778,2828150.87704354,876.3770528546935,21900.00000000301,142707.51203551583,24415.18490426366,204115.095698488,968761.6190140131,0.0,0.0,22350.873448958813,4524.843432699204
